timestamp_ns,ptp4l_connected,is_synchronized,port_state,offset_from_master_ns,mean_path_delay_ns,drift_ns,max_drift_ppb,total_uncertainty_ns,steps_removed,snapshot_age_ms,gm_present,gm_id,phc_index
1783961446275400842,1,1,9,47,2392,966,1000,3405,1,164,1,d83add.fffe.9fc7f3,-1
1783961446325499273,1,1,9,47,2392,1016,1000,3455,1,215,1,d83add.fffe.9fc7f3,-1
1783961446375566112,1,1,9,47,2392,1066,1000,3505,1,265,1,d83add.fffe.9fc7f3,-1
1783961446425629470,1,1,9,47,2392,1116,1000,3555,1,315,1,d83add.fffe.9fc7f3,-1
1783961446475693975,1,1,9,47,2392,1166,1000,3605,1,365,1,d83add.fffe.9fc7f3,-1
1783961446525761351,1,1,9,107,2392,14,1000,2513,1,14,1,d83add.fffe.9fc7f3,-1
1783961446575823005,1,1,9,107,2392,64,1000,2563,1,64,1,d83add.fffe.9fc7f3,-1
1783961446625884936,1,1,9,107,2392,114,1000,2613,1,114,1,d83add.fffe.9fc7f3,-1
1783961446675946590,1,1,9,107,2392,164,1000,2663,1,164,1,d83add.fffe.9fc7f3,-1
1783961446726007892,1,1,9,107,2392,214,1000,2713,1,214,1,d83add.fffe.9fc7f3,-1
1783961446776068805,1,1,9,107,2392,265,1000,2764,1,265,1,d83add.fffe.9fc7f3,-1
1783961446826130440,1,1,9,107,2392,315,1000,2814,1,315,1,d83add.fffe.9fc7f3,-1
1783961446876190168,1,1,9,107,2392,365,1000,2864,1,365,1,d83add.fffe.9fc7f3,-1
1783961446926252192,1,1,9,107,2385,415,1000,2907,1,14,1,d83add.fffe.9fc7f3,-1
1783961446976313586,1,1,9,107,2385,465,1000,2957,1,64,1,d83add.fffe.9fc7f3,-1
1783961447026378443,1,1,9,107,2385,515,1000,3007,1,114,1,d83add.fffe.9fc7f3,-1
1783961447076448374,1,1,9,107,2385,565,1000,3057,1,164,1,d83add.fffe.9fc7f3,-1
1783961447126510638,1,1,9,107,2385,615,1000,3107,1,214,1,d83add.fffe.9fc7f3,-1
1783961447176572032,1,1,9,107,2385,665,1000,3157,1,264,1,d83add.fffe.9fc7f3,-1
1783961447226632148,1,1,9,107,2385,715,1000,3207,1,314,1,d83add.fffe.9fc7f3,-1
1783961447276693005,1,1,9,107,2385,765,1000,3257,1,365,1,d83add.fffe.9fc7f3,-1
1783961447326754325,1,1,9,107,2385,14,1000,2506,1,14,1,d83add.fffe.9fc7f3,-1
1783961447376814793,1,1,9,107,2385,64,1000,2556,1,64,1,d83add.fffe.9fc7f3,-1
1783961447426876057,1,1,9,107,2385,114,1000,2606,1,114,1,d83add.fffe.9fc7f3,-1
1783961447476940673,1,1,9,107,2385,164,1000,2656,1,164,1,d83add.fffe.9fc7f3,-1
1783961447527008159,1,1,9,107,2385,214,1000,2706,1,214,1,d83add.fffe.9fc7f3,-1
1783961447577068035,1,1,9,107,2385,264,1000,2756,1,264,1,d83add.fffe.9fc7f3,-1
1783961447627129780,1,1,9,107,2385,314,1000,2806,1,314,1,d83add.fffe.9fc7f3,-1
