timestamp_ns,ptp4l_connected,is_synchronized,port_state,offset_from_master_ns,mean_path_delay_ns,drift_ns,max_drift_ppb,total_uncertainty_ns,steps_removed,snapshot_age_ms,gm_present,gm_id,phc_index
1783960984965718023,1,1,9,39,2396,6311,10000,8746,1,230,1,d83add.fffe.9fc7f3,-1
1783960985015812022,1,1,9,39,2396,6812,10000,9247,1,280,1,d83add.fffe.9fc7f3,-1
1783960985065888373,1,1,9,39,2396,7313,10000,9748,1,330,1,d83add.fffe.9fc7f3,-1
1783960985115951224,1,1,9,39,2396,7813,10000,10248,1,380,1,d83add.fffe.9fc7f3,-1
1783960985166012963,1,1,9,39,2396,8314,10000,10749,1,30,1,d83add.fffe.9fc7f3,-1
1783960985216074388,1,1,9,39,2396,8815,10000,11250,1,80,1,d83add.fffe.9fc7f3,-1
1783960985266135850,1,1,9,39,2396,9315,10000,11750,1,130,1,d83add.fffe.9fc7f3,-1
1783960985316197293,1,1,9,39,2396,9816,10000,12251,1,180,1,d83add.fffe.9fc7f3,-1
1783960985366258625,1,1,9,39,2396,10316,10000,12751,1,230,1,d83add.fffe.9fc7f3,-1
1783960985416319846,1,1,9,39,2396,10817,10000,13252,1,280,1,d83add.fffe.9fc7f3,-1
1783960985466380808,1,1,9,39,2396,11318,10000,13753,1,330,1,d83add.fffe.9fc7f3,-1
1783960985516442826,1,1,9,39,2396,11818,10000,14253,1,380,1,d83add.fffe.9fc7f3,-1
1783960985566503343,1,1,9,48,2396,301,10000,2745,1,30,1,d83add.fffe.9fc7f3,-1
1783960985616564453,1,1,9,48,2396,802,10000,3246,1,80,1,d83add.fffe.9fc7f3,-1
1783960985666625729,1,1,9,48,2396,1302,10000,3746,1,130,1,d83add.fffe.9fc7f3,-1
1783960985716686691,1,1,9,48,2396,1803,10000,4247,1,180,1,d83add.fffe.9fc7f3,-1
1783960985766747857,1,1,9,48,2396,2304,10000,4748,1,230,1,d83add.fffe.9fc7f3,-1
1783960985816809263,1,1,9,48,2396,2804,10000,5248,1,280,1,d83add.fffe.9fc7f3,-1
1783960985866870243,1,1,9,48,2396,3305,10000,5749,1,330,1,d83add.fffe.9fc7f3,-1
1783960985916931075,1,1,9,48,2396,3806,10000,6250,1,380,1,d83add.fffe.9fc7f3,-1
1783960985966991519,1,1,9,48,2391,4306,10000,6745,1,30,1,d83add.fffe.9fc7f3,-1
1783960986017056295,1,1,9,48,2391,4807,10000,7246,1,80,1,d83add.fffe.9fc7f3,-1
1783960986067127590,1,1,9,48,2391,5307,10000,7746,1,130,1,d83add.fffe.9fc7f3,-1
1783960986117189292,1,1,9,48,2391,5808,10000,8247,1,180,1,d83add.fffe.9fc7f3,-1
1783960986167250735,1,1,9,48,2391,6309,10000,8748,1,230,1,d83add.fffe.9fc7f3,-1
1783960986217311863,1,1,9,48,2391,6809,10000,9248,1,280,1,d83add.fffe.9fc7f3,-1
1783960986267372806,1,1,9,48,2391,7310,10000,9749,1,330,1,d83add.fffe.9fc7f3,-1
1783960986317433582,1,1,9,48,2391,7811,10000,10250,1,380,1,d83add.fffe.9fc7f3,-1
1783960986367494655,1,1,9,27,2391,300,10000,2718,1,30,1,d83add.fffe.9fc7f3,-1
1783960986417554801,1,1,9,27,2391,800,10000,3218,1,80,1,d83add.fffe.9fc7f3,-1
1783960986467615892,1,1,9,27,2391,1301,10000,3719,1,130,1,d83add.fffe.9fc7f3,-1
1783960986517677613,1,1,9,27,2391,1802,10000,4220,1,180,1,d83add.fffe.9fc7f3,-1
1783960986567738593,1,1,9,27,2391,2302,10000,4720,1,230,1,d83add.fffe.9fc7f3,-1
1783960986617799499,1,1,9,27,2391,2803,10000,5221,1,280,1,d83add.fffe.9fc7f3,-1
1783960986667860608,1,1,9,27,2391,3303,10000,5721,1,330,1,d83add.fffe.9fc7f3,-1
